Date,NDVI_LSTM_Prediction
2023-01-31,404.13004
2023-02-28,392.2556
2023-03-31,380.37
2023-04-30,369.23196
2023-05-31,359.27347
2023-06-30,350.904
2023-07-31,344.15622
2023-08-31,338.9048
2023-09-30,334.86453
2023-10-31,332.2287
2023-11-30,330.45712
2023-12-31,330.02606
